"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.63421291659168e-173,9.67906579349516,0.74,0.001,4.9586078207531e-169,"B_cell","VPREB3"
1.0849203120883e-170,6.59807026239437,0.98,0.019,1.16086473393448e-166,"B_cell","CD79A"
4.25893389922828e-154,6.07900187700126,0.92,0.02,4.55705927217426e-150,"B_cell","MS4A1"
1.18695785327264e-133,6.43279723364027,0.74,0.011,1.27004490300173e-129,"B_cell","BANK1"
2.32709692087695e-132,7.3065371277801,0.74,0.012,2.48999370533834e-128,"B_cell","LINC00926"
1.87613583846086e-106,6.89389338025632,0.56,0.007,2.00746534715312e-102,"B_cell","SPIB"
3.18247367172934e-106,7.56211653361874,0.5,0.003,3.40524682875039e-102,"B_cell","HLA-DOB"
1.66719959308737e-103,6.68883610989622,0.56,0.008,1.78390356460349e-99,"B_cell","RALGPS2"
3.27437960324695e-102,7.22639781660996,0.54,0.007,3.50358617547424e-98,"B_cell","CD22"
1.93486710614665e-98,6.99817621763849,0.56,0.009,2.07030780357692e-94,"B_cell","IGLL5"
1.02152956896034e-97,7.42426460214962,0.52,0.007,1.09303663878756e-93,"B_cell","FCER2"
4.18897283011195e-95,4.8650976179507,0.94,0.067,4.48220092821979e-91,"B_cell","CD79B"
6.09498926196199e-93,7.06155640325979,0.46,0.004,6.52163851029932e-89,"B_cell","FCRLA"
1.28790985912456e-86,8.17709569634041,0.4,0.002,1.37806354926328e-82,"B_cell","BLNK"
4.21336397206882e-83,7.12557131790315,0.48,0.009,4.50829945011364e-79,"B_cell","TCL1A"
3.03865672175848e-77,8.19319332867838,0.36,0.002,3.25136269228158e-73,"B_cell","RP5-887A10.1"
1.20889702877306e-76,8.77732756450344,0.34,0.001,1.29351982078717e-72,"B_cell","CTA-250D10.23"
2.26211409650975e-73,7.44640552679134,0.36,0.003,2.42046208326544e-69,"B_cell","RP11-693J15.5"
5.64048361899174e-72,8.7342452310952,0.32,0.001,6.03531747232117e-68,"B_cell","CD19"
2.08649073499578e-68,6.71194487878889,0.38,0.006,2.23254508644548e-64,"B_cell","FAM129C"
1.30737130874519e-66,6.43434495260119,0.36,0.005,1.39888730035735e-62,"B_cell","BLK"
5.30607826606336e-62,6.24965740075159,0.34,0.005,5.67750374468779e-58,"B_cell","POU2AF1"
1.12772516678633e-61,5.10903313352974,0.46,0.016,1.20666592846138e-57,"B_cell","CD40"
9.93013412258381e-58,8.02521456939916,0.26,0.001,1.06252435111647e-53,"B_cell","TNFRSF13C"
2.76952858174304e-56,7.09439327386087,0.3,0.004,2.96339558246506e-52,"B_cell","AC079767.4"
6.36920001458755e-55,4.88465807595097,0.42,0.015,6.81504401560868e-51,"B_cell","MZB1"
3.28479572615377e-52,5.40326862308691,0.36,0.01,3.51473142698453e-48,"B_cell","FCGR2B"
1.51378131730407e-51,5.51172346463115,0.42,0.018,1.61974600951535e-47,"B_cell","ADAM28"
1.69102091690705e-51,6.22736555916363,0.28,0.004,1.80939238109055e-47,"B_cell","TNFRSF13B"
3.8378443654602e-47,3.84227304085731,0.68,0.076,4.10649347104241e-43,"B_cell","HVCN1"
5.54275966947366e-47,4.34856437337032,0.46,0.026,5.93075284633681e-43,"B_cell","TPD52"
9.18468172658592e-47,5.07656495790278,0.36,0.013,9.82760944744693e-43,"B_cell","CD72"
2.50226501456358e-46,5.35399855822276,0.34,0.011,2.67742356558303e-42,"B_cell","GNG7"
1.15004177912169e-41,2.81109163940974,0.94,0.226,1.23054470366021e-37,"B_cell","HLA-DQA2"
1.25839583459481e-41,5.47916089913629,0.28,0.008,1.34648354301645e-37,"B_cell","FCRL2"
9.02918034632372e-41,2.82319896781217,0.94,0.247,9.66122297056638e-37,"B_cell","HLA-DQA1"
1.52981133664196e-40,2.82102354914522,0.92,0.22,1.6368981302069e-36,"B_cell","HLA-DQB1"
4.93813688952456e-40,6.00905471591092,0.28,0.009,5.28380647179128e-36,"B_cell","BCL7A"
4.6838012404317e-39,5.64835864594378,0.3,0.011,5.01166732726192e-35,"B_cell","KIAA0226L"
6.01128658117908e-39,4.21001748730242,0.44,0.032,6.43207664186162e-35,"B_cell","SWAP70"
1.09740749205469e-36,3.70371989995916,0.48,0.043,1.17422601649852e-32,"B_cell","CXXC5"
1.28068719448452e-35,4.1366362629859,0.4,0.028,1.37033529809843e-31,"B_cell","P2RX5"
1.42540237399451e-35,4.99042536522506,0.36,0.023,1.52518054017413e-31,"B_cell","CD180"
4.30898640729201e-34,3.24523991463217,0.62,0.088,4.61061545580245e-30,"B_cell","IRF8"
5.22641321284289e-33,4.54759874999851,0.3,0.015,5.59226213774189e-29,"B_cell","CCR6"
5.96578771147406e-33,1.84005129615637,1,0.514,6.38339285127724e-29,"B_cell","HLA-DPA1"
1.59711286186341e-31,1.2934775986736,1,0.814,1.70891076219385e-27,"B_cell","CD74"
5.90209132209889e-31,1.4868010916277,1,0.651,6.31523771464581e-27,"B_cell","HLA-DRA"
2.51440749898799e-30,3.45417882924938,0.54,0.075,2.69041602391715e-26,"B_cell","ARHGAP24"
8.47689504464729e-30,4.5708751162414,0.28,0.015,9.0702776977726e-26,"B_cell","TSPAN13"
2.13926481186639e-29,1.77945220103679,0.96,0.478,2.28901334869704e-25,"B_cell","HLA-DRB5"
1.07632815985183e-28,3.51791113647079,0.42,0.043,1.15167113104146e-24,"B_cell","IFT57"
1.2928453013453e-28,1.5493983118363,0.98,0.587,1.38334447243947e-24,"B_cell","HLA-DPB1"
1.63437160948502e-28,3.75791585940659,0.36,0.03,1.74877762214897e-24,"B_cell","ITM2C"
2.10993873554881e-28,2.85394222539197,0.66,0.125,2.25763444703723e-24,"B_cell","BIRC3"
5.0420058983343e-27,1.70262362981626,0.96,0.486,5.3949463112177e-23,"B_cell","HLA-DRB1"
7.78769940781436e-26,1.11898105179921,1,0.791,8.33283836636137e-22,"B_cell","CD37"
1.24332653501215e-23,3.05761357680689,0.5,0.083,1.330359392463e-19,"B_cell","ORAI2"
1.60829431579889e-22,4.52950392783734,0.26,0.02,1.72087491790482e-18,"B_cell","EAF2"
3.77575213212732e-22,3.9750158351376,0.3,0.028,4.04005478137623e-18,"B_cell","BCL11A"
6.42097187006563e-22,2.69637640461056,0.54,0.097,6.87043990097022e-18,"B_cell","FAIM3"
7.37932997176184e-22,3.58953801319137,0.32,0.033,7.89588306978517e-18,"B_cell","TSPAN3"
6.57997162516347e-21,1.65718263349314,0.94,0.399,7.04056963892491e-17,"B_cell","LTB"
1.67434467146496e-20,3.67792598577014,0.32,0.036,1.7915487984675e-16,"B_cell","PPAPDC1B"
2.10224070995868e-20,3.21575621154307,0.36,0.046,2.24939755965579e-16,"B_cell","SEL1L3"
3.07051828097813e-20,3.44501006991646,0.4,0.06,3.2854545606466e-16,"B_cell","IGJ"
7.89920312783393e-18,1.74972249258332,0.8,0.301,8.4521473467823e-14,"B_cell","MARCH1"
5.34318940556489e-17,2.81556400945641,0.46,0.098,5.71721266395443e-13,"B_cell","CYB561A3"
2.0842436818364e-16,2.39260243812021,0.44,0.083,2.23014073956495e-12,"B_cell","CCR7"
2.9033765202411e-16,0.351322762310859,1,0.982,3.10661287665797e-12,"B_cell","RPS11"
3.05799090124648e-16,2.12159865476384,0.64,0.209,3.27205026433373e-12,"B_cell","HLA-DMB"
5.41232138907048e-16,2.87221250024765,0.36,0.06,5.79118388630542e-12,"B_cell","SESN1"
5.70093825555221e-16,0.490271206009016,1,0.965,6.10000393344087e-12,"B_cell","RPS5"
3.0422328352463e-15,0.35198912276952,1,0.99,3.25518913371354e-11,"B_cell","RPS23"
3.71409469777932e-15,3.28186739296037,0.28,0.038,3.97408132662387e-11,"B_cell","METTL8"
8.19901841562709e-15,2.07496072292609,0.6,0.193,8.77294970472098e-11,"B_cell","SNHG7"
9.51820890747543e-15,0.55456958528581,1,0.885,1.01844835309987e-10,"B_cell","EEF2"
3.53637848417336e-14,2.08395382357782,0.5,0.128,3.78392497806549e-10,"B_cell","PDLIM1"
6.27911843559103e-14,1.81852729554924,0.66,0.246,6.71865672608241e-10,"B_cell","POU2F2"
